げんきん	現金	cash	会L13(e)
けんこう	健康	health	会L23
げんばく	原爆	atomic bomb	読L15-II
〜こ	〜個	[generic counter for smaller items]	会L14
こうかんする	交換する	to exchange [irr.]	会L20
こうこく	広告	advertisement	会L13
こうざ	口座	account	会L13(e)
こうじょう	工場	factory	会L21
こうちゃ	紅茶	black tea	会L13
こうはい	後輩	junior member of a group	会L22
こうよう	紅葉	autumn leaves/colors	読L15-II
こくさい	国際	international	読L19-III
ここのか	九日	nine days	会L13
こころ	心	mind; heart	読L20-II
ござる		extra-modest expression for ある [u]	会L20
ごしゅじん	ご主人	(your/someone's) husband	会L14
ごぜんちゅう	午前中	in the morning	会L21
こたえ	答/答え	answer	読L23-II
こたえる	答える	to answer [ru]	会L23
ごちそうする		to treat/invite (someone) to a meal [irr.]	会L19
こちら		this way (polite)	会L19
こと		things; matters	会L21
ことば	言葉	language	会L13
ことわざ		proverb	読L23-II
このあいだ	この間	the other day	会L16
このぐらい		about this much	会L16
このように		like this; this way	読L23-II
コピーをとる	コピーを取る	to make a photocopy [u]	会L22
こまる	困る	to have difficulty [u]	会L16
ごみ		garbage	会L16
こむ	混む	to get crowded [u]	会L17
ごめん		I'm sorry. (casual)	会L16
ごらんになる	ご覧になる	honorific expression for みる [u]	会L19
ゴルフ		golf	会L13
これから		from now on	会L16
〜ころ		time of ...; when ...	会L21
ころぶ	転ぶ	to fall down [u]	会L18
こわす	壊す	to break (something) [u]	会L18
こわれる	壊れる	(something) breaks [ru]	会L18
コンタクト(レンズ)		contact lenses	会L17
こんな〜		... like this; this kind of ...	会L14
こんなふう		like this	会L22
さあ		I am not sure ...	会L14
さいあく(な)	最悪	the worst	会L17
さいきん	最近	recently	会L15
さいごに	最後に	finally; lastly	会L23
さがす	探す	to look for [u]	会L15
さく	咲く	to bloom [u]	会L18
さくひん	作品	work (of art, etc.)	読L17-II
さくら	桜	cherry blossom	会L18
さしあげる	差し上げる	humble expression for あげる [ru]	会L20
さす	刺す	to bite [u]	会L21
さそう	誘う	to invite [u]	会L15
ざだんかい	座談会	round-table discussion	読L13-III
〜さつ	〜冊	[counter for bound volumes]	会L14
さとう	砂糖	sugar	会L16
さら	皿	plate; dish	会L14
サラリーマン		salaryman; office worker	会L17
さる	猿	monkey	会L22
さわる	触る	to touch [u]	会L21
さんかする	参加する	to participate [irr.]	会L15
ざんぎょう	残業	overtime work	会L17
さんせいする	賛成する	to agree [irr.]	会L22
ざんだかしょうかい	残高照会	balance inquiry	会L13(e)
し	詩	poem	読L17-II
じ	字	letter; character	会L20
しあわせ(な)	幸せ	happy (lasting happiness)	会L13
しか	鹿	deer	読L15-II
しかし		however	読L17-II
しかたがない		cannot be helped	読L22-II
じかんどおり	時間通り	on time	読L13-III
じしょ	辞書	dictionary	会L15
じしん	地震	earthquake	会L15
しぜん	自然	nature	読L15-II
じだい	時代	age; era	読L14-II
したしい	親しい	close; intimate	読L18-III
じつは	実は	actually; in fact	会L16
しっぱいする	失敗する	to fail; to be unsuccessful [irr.]	会L22
しつもん	質問	question	読L19-III
しつれいしました	失礼しました	I'm very sorry.	会L20
しつれいします	失礼します	Excuse me.; Sorry to interrupt you.	会L16
してん	支店	branch office	会L20
じどう	自動	automatic	読L13-III
じぶん	自分	oneself	会L17
じぶんで	自分で	(do something) by oneself	会L16
しま	島	island	読L15-II
しまる	閉まる	(something) closes [u]	会L18
しめきり	締め切り	deadline	会L15
しゃかい	社会	society	会L23
ジャケット		jacket	会L15
しゃべる		to chat [u]	会L15
シャンプー		shampoo	会L18
じゆう	自由	freedom	会L22
しゅうかん	習慣	custom	会L15
しゅうでん	終電	last train (of the day)	会L21
じゆうに	自由に	freely	会L22
しゅうにゅう	収入	income	読L18-II
じゅぎょうちゅうに	授業中に	in class; during the class	会L16
じゅぎょうりょう	授業料	tuition	会L21
じゅく	塾	cram school	会L22
しゅしょう	首相	prime minister	会L17
しゅじん	主人	head of a family	読L15-II
しゅっちょう	出張	business trip	会L19
しゅふ	主夫	house husband	読L17-II
しゅみ	趣味	hobby; pastime	会L20
しゅるい	種類	a kind; a sort	会L19
じゅんび	準備	preparation	会L17
しょうがくきん	奨学金	scholarship	会L16
しょうがくせい	小学生	elementary school students	読L16-II
しょうがっこう	小学校	elementary school	会L23
しょうぎ		Japanese chess	読L19-II
しょうしょう	少々	a few seconds	会L19
しょうせつ	小説	novel	会L20
しょうたいする	招待する	to invite someone (to an event/a place) [irr.]	会L19
しょうゆ	しょう油	soy sauce	会L18
しょくじ	食事	meal	読L21-II
しょくひ	食費	cost of food	読L18-III
じょしがくせい	女子学生	female student	読L18-II
ショッピングモール		shopping mall	会L17
しょるい	書類	document	会L22
しらべる	調べる	to look into (a matter) [ru]	会L15
しりあう	知り合う	to get acquainted with [u]	会L19
シングル		single room	会L15(e)
しんごう	信号	traffic light	会L20
しんじる	信じる	to believe [ru]	会L21
しんせき	親せき	relatives	会L16
しんぱい(な)	心配	worried about	会L22
しんゆう	親友	best friend	読L22-II
すいせんじょう	推薦状	letter of recommendation	会L16
スイッチ		switch	会L18
ずいぶん		very	会L17
スープ		soup	会L18
スカート		skirt	会L18
すく		thin out (hair) [u]	会L17(e)
すくない	少ない	a little; a few	会L17
スクランブルこうさてん	スクランブル交差点	scramble crossing	読L15-II
すごい		incredible; awesome	会L13
すこし	少し	a little	会L21
ずっと		for a long time; all the time	会L22
すっぽん		snapping turtle; terrapin	読L13-II
スニーカー		sneakers	会L20
スピーチ		speech	会L21
スプーン		spoon	会L17
セーター		sweater	会L13
せいかく	性格	personality	会L19
せいかつする	生活する	to lead a life [irr.]	会L20
せいかつのゆとり	生活のゆとり	extra money to spare for the cost of living	読L18-II
せいかつひ	生活費	the cost of living	読L18-II
ぜいきん	税金	tax	会L15
ぜいたくをする		to indulge in luxury [irr.]	読L21-II
せいふ	政府	government	会L21
せかいじゅう	世界中	all over the world	読L23-II
ぜったいに	絶対に	definitely; no matter what	会L22
セット		set	会L17(e)
せつめいする	説明する	to explain [irr.]	会L16
せわをする	世話をする	to take care of ... [irr.]	会L23
せんきゅうひゃくろくじゅうねんだい	1960年代	1960's	読L17-II
せんす	扇子	(hand) fan	会L20
せんぱい	先輩	senior member of a group	会L22
そうだんする	相談する	to consult [irr.]	会L14
そだてる	育てる	to raise; to bring up [ru]	会L22
そつぎょうしき	卒業式	graduation ceremony	会L15
そつぎょうする	卒業する	to graduate (from ...) [irr.]	会L15
そと	外	outside	会L18
そのご	その後	after that	読L17-II
そば		soba; Japanese buckwheat noodles	会L15
ソファ		sofa	会L18
そめる		to dye [ru]	会L17(e)
そら	空	sky	読L16-II
そる		to shave [u]	会L17(e)
それで		then; therefore	会L19
それでは		well then	読L19-II
そろえる		to make hair even; to trim [ru]	会L17(e)
そろそろ		it is about time to ...	会L23
そんな〜		such ...; that kind of ...	会L23
そんなこと(は)ない		I don't think so.	会L22
〜だい	〜台	[counter for equipment]	会L14
たいせつ(な)	大切	precious; important	会L18
たいせつにする	大切にする	to take good care of [irr.]	読L19-II
だいがくいん	大学院	graduate school	会L16
だいヒット	大ヒット	big hit	読L17-II
タイプ		type	読L22-II
たいふう	台風	typhoon	会L16
たいへん		greatly	読L19-II
だいよくじょう	大浴場	large spa	会L15(e)
タオル		towel	会L18
たからくじ	宝くじ	lottery	会L17
たからくじにあたる	宝くじに当たる	to win a lottery [u]	会L17
だく	抱く	to hold something in one's arm [u]	読L20-II
だす	出す	to take (something) out; to hand in (something) [u]	会L16
たすかる	助かる	to be saved; to be helped [u]	会L18
たすける	助ける	to help; to rescue [ru]	会L22
ただ		free of charge	会L23
ただの〜		nothing more than ...	読L21-II
〜たち		[makes a noun plural]	会L14
たつ		(time) pass [u]	読L19-II
たて	縦	vertical	読L23-II
たてもの	建物	building	会L15
たとえば	例えば	for example	会L17
たのしむ	楽しむ	to enjoy [u]	読L15-II
たのむ	頼む	to ask (a favor) [u]	会L18
ダブル		double room	会L15(e)
だます		to deceive [u]	読L20-II
だめ(な)		no good	会L13
〜ために		for ...; for the sake of ...	会L23
ためる		to save money [ru]	会L21
たりる	足りる	to be sufficient; to be enough [ru]	会L17
〜(ん)だろう		short form of 〜(ん)でしょう	会L18
だんしがくせい	男子学生	male student	読L18-II
ちかい	近い	close; near	会L13
ちがい	違い	difference	会L17
ちがう	違う	to be different; to be wrong [u]	会L23
ちからしごと	力仕事	physical labor (such as construction)	読L18-III
ちかん		groper; pervert	会L21
チェックアウト(する)		checking out	会L15(e)
チェックイン(する)		checking in	会L15(e)
チェックする		to check [irr.]	会L23
ちか	地下	underground	読L15-II
ちず	地図	map	会L15
ちちおや	父親	father	読L14-II
チップ		tip	読L13-III
ちゃみせ	茶店	teahouse	読L20-II
〜ちゃん		suffix for names of children	会L22
〜ちゅう	〜中	while ...	読L19-II
ちゅういする	注意する	to give warning; to watch out [irr.]	会L14
ちゅうがくせい	中学生	junior high school student	会L19
ちゅうもんする	注文する	to place an order [irr.]	会L18
ちょうさ	調査	survey	会L23
ちょうしょくつき	朝食付き	with breakfast	会L15(e)
ちょうど		exactly	会L14
ちょきんする	貯金する	to deposit money (in a bank) [irr.]	読L18-II
チョコレート		chocolate	会L14
ツイン		twin room	会L15(e)
つうちょう	通帳	passbook	会L13(e)
つうちょうきにゅう	通帳記入	passbook update	会L13(e)
つかまる	捕まる	to be arrested; to be caught [u]	会L21
つき	月	moon	会L20
つきあう	付き合う	to date (someone); to keep company [u]	会L15
つく	着く	to arrive [u]	会L15
つく		(something) turns on [u]	会L18
つごうがわるい	都合が悪い	inconvenient; to have a scheduling conflict	会L17
つたえる	伝える	to convey message [ru]	会L20
つづく	続く	to continue [u]	読L16-II
つづける	続ける	to continue [ru]	会L20
つつむ	包む	to wrap; to cover [u]	会L21
つよい	強い	strong	会L17
つれていく	連れていく	to take (someone) to (a place) [u]	会L16
〜ていらっしゃる		honorific expression for 〜ている [u]	会L19
〜ておる		extra-modest expression for 〜ている [u]	会L20
できる		to come into existence; to be made [ru]	会L14
できれば		if possible	会L22
〜でござる		extra-modest expression for です [u]	会L20
デザート		desert	読L13-III
てすうりょう	手数料	commission	会L13(e)
てつやする	徹夜する	to stay up all night [irr.]	会L22
では		well then (polite)	会L20
でんきこうがく	電気工学	electrical engineering	読L19-III
てんじょう	天井	ceiling	読L17-II
でんしレンジ	電子レンジ	microwave oven	会L17
でんち	電池	battery	会L15
てんらんかい	展覧会	art exhibition	読L17-II
(〜は)〜といういみだ	(〜は)〜という意味だ	〜 means that ...	読L23-II
ドイツ		Germany	会L20
どうぐ	道具	tool	読L16-II
どうしたらいい		what should one do	会L14
どうしよう		What should I/we do?	会L18
どうじょうする	同情する	to sympathize [irr.]	会L23
どうぞよろしくおねがいします	どうぞよろしくお願いします	Thank you in advance.	読L19-III
どうぶつ	動物	animal	会L20
どうりょう	同僚	colleague	会L21
とおい	遠い	far (away)	会L21
とおか	十日	ten days	会L13
とおる	通る	to go through; to pass [u]	読L15-II
〜とか		... for example	会L22
とくに	特に	especially	会L13
どこでも		anywhere	読L16-II
ところが		however; on the contrary	読L21-II
どちら		where (polite)	会L19
とつぜん	突然	suddenly	読L19-III
とにかく		anyhow; anyway	会L21
とぶ	飛ぶ	to fly [u]	読L16-II
とまる	止まる	to stop [u]	読L20-II
〜ともうします	〜と申します	my name is ...	会L13
とり	鳥	bird; poultry	読L13-II
トレーナー		sweatshirt	会L14
トロッコれっしゃ	トロッコ列車	small train usually for tourists	読L15-II
どろぼう	泥棒	thief; burglar	会L21
なおす	直す	to correct; to fix [u]	会L16
ながいあいだ	長い間	long time	読L21-II
なかがいい	仲がいい	be on good/close terms; to get along well	会L19
なく	泣く	to cry [u]	会L13
なくなる		to be lost; to disappear [u]	会L23
なぐる	殴る	to strike; to hit; to punch [u]	会L21
なさる		honorific expression for する [u]	会L19
なぜ		why	会L19
なつかしい		to miss; to long for	読L19-II
なのか	七日	seven days	会L13
なべ		pot	読L13-II
なまえをつける	名前をつける	to name [ru]	読L17-II
なまけもの	怠け者	lazy person	会L19
なやみ	悩み	worry	会L19
なれる	慣れる	to get used to ... [ru]	会L17
なんだか		somehow	読L22-II
なんでも		anything; everything	読L13-II
なんども	何度も	many times	会L22
にあう	似合う	to look good (on somebody) [u]	会L14
〜にくらべて	〜に比べて	compared with ...	会L17
にげる	逃げる	to run away; to escape [ru]	読L22-II
にこにこする		to smile [irr.]	読L20-II
にっき	日記	diary	会L18
ニヤニヤする		to grin [irr.]	読L13-II
にゅういんする	入院する	to be hospitalized [irr.]	読L21-II
ニュース		news	会L17
〜によると		according to ...	会L17
にわ	庭	garden	会L15
ぬいぐるみ		stuffed animal (e.g., teddy bear)	会L14
ぬぐ	脱ぐ	to take off (clothes) [u]	会L17
ぬすむ	盗む	to steal; to rob [u]	会L21
ネクタイ		necktie	会L14
ねだん	値段	price	読L20-II
〜ねんかん	〜年間	for ... years	読L14-II
のこす	残す	to leave; to preserve [u]	読L15-II
〜のしょうかいで	〜の紹介で	through the introduction of	読L19-III
〜のために		for ...	読L19-III
〜のための		for the sake of ...	読L17-II
〜のようなもの		something like ...	読L16-II
のりおくれる	乗り遅れる	to miss (a train, bus, etc.) [ru]	会L16
〜は…といういみだ	〜は…という意味だ	〜 means that ...	読L23-II
ばあい	場合	case	読L14-II
パートナー		partner	会L14
パーマ		perm	会L17(e)
パーマをかける		to have one's hair permed [ru]	会L17(e)
はいく	俳句	haiku	読L17-II
バイク		motorcycle	会L13
ばかにする		to insult; to make a fool of ... [irr.]	会L21
はこぶ	運ぶ	to carry [u]	会L22
はしご		ladders	読L17-II
はずかしい	恥ずかしい	embarrassing; to feel embarrassed	会L18
はずかしがりや	恥ずかしがり屋	shy person	会L19
はっぴょうする	発表する	to make a presentation; to make public [irr.]	会L15
はなし	話	story; talk	会L19
はなしをする	話をする	to have a talk [irr.]	会L19
バナナ		banana	会L18
はなれる	離れる	(something/someone) separates; parts from [ru]	会L23
はる	貼る	to post; to stick [u]	会L21
はれる	晴れる	to become sunny [ru]	会L19
バレンタインデー		Valentine's Day	会L14
ばんぐみ	番組	broadcast program	読L16-II
パンダ		panda	会L17
はんたいする	反対する	to oppose; to object to [irr.]	会L22
