209	以	16	い		by means of; compared with	〜以外(〜いがい)=other than ...;〜以上(〜いじょう)=... or more;〜以下(〜いか)=... or less;〜以内(〜いない)=within ...;以前(いぜん)=before, formerly
210	野	17	や	の	field	分野(ぶんや)=realm, field;小野さん(おのさん)=Mr./Ms. Ono;長野(ながの)=Nagano;野球(やきゅう)=baseball;野菜(やさい)=vegetable
211	習	17	しゅう	なら	to learn	習う(ならう)=to learn;習字(しゅうじ)=calligraphy;練習(れんしゅう)=practice;習慣(しゅうかん)=habit, custom
212	主	17	しゅ	おも/ぬし	main; lord	主に(おもに)=mainly;ご主人(ごしゅじん)=husband;主婦(しゅふ)=housewife;主語(しゅご)=subject of a sentence;持ち主(もちぬし)=owner
213	歳	17	さい/せい		year; age	二十五歳(にじゅうごさい)=twenty-five years old;お歳暮(おせいぼ)=year-end gift;二十歳(はたち)=twenty years old
214	集	17	しゅう	あつ	to gather	集める(あつめる)=to collect;特集(とくしゅう)=(magazine) feature;集中する(しゅうちゅうする)=to concentrate
215	発	17	はっ/はつ/ぱつ		to start; to reveal	発表する(はっぴょうする)=to make public, to give a presentation;発音(はつおん)=pronunciation;出発(しゅっぱつ)=departure;発明(はつめい)=invention
216	表	17	ぴょう/ひょう	あらわ/おもて	to express; surface	発表する(はっぴょうする)=to give a presentation;表紙(ひょうし)=cover page;表現(ひょうげん)=expression;表す(あらわす)=to express;表(おもて)=the front
217	品	17	ひん	じな/しな	goods; refinement	作品(さくひん)=work (of art, etc.);上品な(じょうひんな)=elegant;手品(てじな)=magic;品物(しなもの)=article of merchandise
218	写	17	しゃ	うつ	to copy	写真(しゃしん)=photograph;写す(うつす)=to copy;写生(しゃせい)=sketch;描写する(びょうしゃする)=to describe
219	真	17	しん	ま	true; reality	写真(しゃしん)=photograph;真ん中(まんなか)=center;〜の真上(〜のまうえ)=right above ...;真夜中(まよなか)=midnight
220	字	17	じ		letter; character	文字(もじ)=letter, character;赤字(あかじ)=deficit;名字(みょうじ)=family name;大文字(おおもじ)=uppercase letters;漢字(かんじ)=Chinese character
221	活	17	かつ/かっ		lively	活動(かつどう)=activity;生活(せいかつ)=life, living;活発な(かっぱつな)=active;活用(かつよう)=conjugation;活気(かっき)=liveliness
222	結	17	けっ/けつ	むす	to tie; to join	結婚する(けっこんする)=to get married;結果(けっか)=result;結論(けつろん)=conclusion;結ぶ(むすぶ)=to tie a knot
223	婚	17	こん		marriage	結婚する(けっこんする)=to get married;離婚(りこん)=divorce;婚約者(こんやくしゃ)=fiancé(e);新婚(しんこん)=newlywed;未婚(みこん)=unmarried
224	歩	17	ほ/ぽ	ある	to walk	歩く(あるく)=to walk;歩道(ほどう)=sidewalk;散歩する(さんぽする)=to stroll;一歩(いっぽ)=one step;進歩(しんぽ)=progress
225	目	18	もく	め	eye	目的(もくてき)=purpose;目(め)=eyes;目薬(めぐすり)=eye drops;二番目(にばんめ)=the second;目上の人(めうえのひと)=one's superiors
226	的	18	てき	まと	target; -ish	目的(もくてき)=purpose;現代的(げんだいてき)=modern;社会的(しゃかいてき)=social;的(まと)=target
227	洋	18	よう		ocean; overseas	洋服(ようふく)=(Western) clothes;東洋(とうよう)=the East;洋食(ようしょく)=Western food;大西洋(たいせいよう)=the Atlantic
228	服	18	ふく		clothes	服(ふく)=clothes;洋服(ようふく)=(Western) clothes;制服(せいふく)=uniform;和服(わふく)=Japanese clothes
229	堂	18	どう		hall	食堂(しょくどう)=cafeteria;公会堂(こうかいどう)=public hall;堂々とした(どうどうとした)=dignified, imposing
230	力	18	りょく/りき	ちから	power	力仕事(ちからしごと)=physical labor;協力(きょうりょく)=cooperation;努力(どりょく)=endeavor;力士(りきし)=sumo wrestler
231	授	18	じゅ	さず	to instruct	授業(じゅぎょう)=class;教授(きょうじゅ)=professor;授かる(さずかる)=to be given
232	業	18	ぎょう		business; vocation	授業(じゅぎょう)=class;職業(しょくぎょう)=occupation;産業(さんぎょう)=industry;サービス業(サービスぎょう)=service industry
233	試	18	し	こころ	test; to try	試験(しけん)=exam;試合(しあい)=game, match;入試(にゅうし)=entrance exam;試みる(こころみる)=to try
234	験	18	けん		to examine	試験(しけん)=exam;実験(じっけん)=experiment;経験(けいけん)=experience;受験(じゅけん)=taking an examination
235	貸	18	たい	か	to lend; loan	貸す(かす)=to lend;貸し出し(かしだし)=lending;賃貸マンション(ちんたいマンション)=rental condo
236	図	18	と/ず	はか	drawing; to devise	図書館(としょかん)=library;地図(ちず)=map;図(ず)=figure;合図(あいず)=signal;図る(はかる)=to attempt
237	館	18	かん		building; hall	図書館(としょかん)=library;旅館(りょかん)=Japanese inn;映画館(えいがかん)=movie theater;大使館(たいしかん)=embassy
238	終	18	しゅう	お	end	終わる(おわる)=to come to an end;終わり(おわり)=end;終点(しゅうてん)=last stop;最終〜(さいしゅう〜)=the last ...
239	宿	18	しゅく	やど	inn; to lodge in	宿題(しゅくだい)=homework;下宿(げしゅく)=boardinghouse;宿泊(しゅくはく)=lodging;宿(やど)=inn
240	題	18	だい		title; topic	宿題(しゅくだい)=homework;問題(もんだい)=problem, question;話題(わだい)=topic of conversation;題(だい)=title
241	春	19	しゅん	はる	spring	春(はる)=spring;春巻(はるまき)=spring roll;春分(しゅんぶん)=vernal equinox;青春(せいしゅん)=youth
242	秋	19	しゅう	あき	autumn	秋(あき)=autumn;秋学期(あきがっき)=fall semester;秋分(しゅうぶん)=autumnal equinox
243	冬	19	とう	ふゆ	winter	冬(ふゆ)=winter;冬休み(ふゆやすみ)=winter vacation;暖冬(だんとう)=warm winter;春夏秋冬(しゅんかしゅうとう)=four seasons
244	花	19	か	はな/ばな	flower	花(はな)=flower;花見(はなみ)=flower viewing;花火(はなび)=fireworks;花粉症(かふんしょう)=hay fever;生け花(いけばな)=flower arrangement
